SBE26plus n° 1344

Date et heure du sbe26plus à la dernière extraction des données :  01/06/2021 07:52:53
Date et heure du pc à la dernière extraction des données :  01/06/2021 07:52:48
SBE26plus est en avance de 5s par rapport au PC

Commentaire : intercomparaison capteurs penfeld
Date Heure	Pression en hectopascal	Température en °C
04/05/2021 12:00:00	914.4	12.399
04/05/2021 12:10:00	914.2	12.398
04/05/2021 12:20:00	913.5	12.397
04/05/2021 12:30:00	913.2	12.397
04/05/2021 12:40:00	912.4	12.396
04/05/2021 12:50:00	912.0	12.397
04/05/2021 13:00:00	911.6	12.398
04/05/2021 13:10:00	911.2	12.399
04/05/2021 13:20:00	910.8	12.398
04/05/2021 13:30:00	910.2	12.400
04/05/2021 13:40:00	910.6	12.409
04/05/2021 13:50:00	909.7	12.408
04/05/2021 14:00:00	909.3	12.406
04/05/2021 14:10:00	908.3	12.405
04/05/2021 14:20:00	907.6	12.403
04/05/2021 14:30:00	906.8	12.402
04/05/2021 14:40:00	906.4	12.404
04/05/2021 14:50:00	906.0	12.404
04/05/2021 15:00:00	905.5	12.403
04/05/2021 15:10:00	904.9	12.402
04/05/2021 15:20:00	904.3	12.400
04/05/2021 15:30:00	903.9	12.400
04/05/2021 15:40:00	903.7	12.397
04/05/2021 15:50:00	903.4	12.397
04/05/2021 16:00:00	903.3	12.394
04/05/2021 16:10:00	902.9	12.389
04/05/2021 16:20:00	903.0	12.385
04/05/2021 16:30:00	903.2	12.385
04/05/2021 16:40:00	903.4	12.382
04/05/2021 16:50:00	903.8	12.379
04/05/2021 17:00:00	904.0	12.374
04/05/2021 17:10:00	904.8	12.372
04/05/2021 17:20:00	905.4	12.369
04/05/2021 17:30:00	906.5	12.367
04/05/2021 17:40:00	907.3	12.366
04/05/2021 17:50:00	908.9	12.369
04/05/2021 18:00:00	910.3	12.373
04/05/2021 18:10:00	912.3	12.380
04/05/2021 18:20:00	914.2	12.388
04/05/2021 18:30:00	916.9	12.401
04/05/2021 18:40:00	919.3	12.410
04/05/2021 18:50:00	921.1	12.413
04/05/2021 19:00:00	922.4	12.410
04/05/2021 19:10:00	922.9	12.400
04/05/2021 19:20:00	924.0	12.394
04/05/2021 19:30:00	925.1	12.393
04/05/2021 19:40:00	926.8	12.393
04/05/2021 19:50:00	928.2	12.395
04/05/2021 20:00:00	929.7	12.396
04/05/2021 20:10:00	931.1	12.395
04/05/2021 20:20:00	932.1	12.395
04/05/2021 20:30:00	933.6	12.395
04/05/2021 20:40:00	934.4	12.395
04/05/2021 20:50:00	936.1	12.395
04/05/2021 21:00:00	936.9	12.395
04/05/2021 21:10:00	938.4	12.394
04/05/2021 21:20:00	938.8	12.393
04/05/2021 21:30:00	939.9	12.393
04/05/2021 21:40:00	940.2	12.392
04/05/2021 21:50:00	941.1	12.392
04/05/2021 22:00:00	941.7	12.391
04/05/2021 22:10:00	942.5	12.390
04/05/2021 22:20:00	942.7	12.390
04/05/2021 22:30:00	942.9	12.389
04/05/2021 22:40:00	942.6	12.389
04/05/2021 22:50:00	942.7	12.389
04/05/2021 23:00:00	942.7	12.390
